id,issueId,commentId,commentAuthor,commentTime,commentHTML,commentText,issue
1,55128,Description,Manoj,"2013-06-22 15:44:22","Created <span class=""""><a href=""attachment.cgi?id=30472"" name=""attach_30472"" title=""stress_run_detials"">attachment 30472</a> <a href=""attachment.cgi?id=30472&amp;action=edit"" title=""stress_run_detials"">[details]</a></span>
stress_run_detials

Login page should not allow the user if he enters wrong credentials","Created attachment 30472 [details]
stress_run_detials

Login page should not allow the user if he enters wrong credentials",1
2,55128,"Comment 1","dev1","2013-06-22 16:03:44","The screenshot obviously isn't related to anything that has to do with Ant - and likely not related to anything close to your error description.  The .NET Antlib doesn't have any login page.

Are you trying to be funny or using our bugzilla to learn?  In either case, please stop it.","The screenshot obviously isn't related to anything that has to do with Ant - and likely not related to anything close to your error description.  The .NET Antlib doesn't have any login page.

Are you trying to be funny or using our bugzilla to learn?  In either case, please stop it.",1
3,53946,Description,swetha,"2012-09-29 16:34:19",dfdsfs,dfdsfs,2
4,53390,Description,Srikanth,"2012-06-09 07:36:41","Created <span class=""""><a href=""attachment.cgi?id=28908"" name=""attach_28908"" title=""vaidation issue"">attachment 28908</a> <a href=""attachment.cgi?id=28908&amp;action=edit"" title=""vaidation issue"">[details]</a></span>
vaidation issue

Please check the validation for the log in page","Created attachment 28908 [details]
vaidation issue

Please check the validation for the log in page",3
5,53390,"Comment 1","dev1","2012-06-09 19:44:08","stop abusing this bugzilla instamce","stop abusing this bugzilla instamce",3
6,53386,Description,Srikanth,"2012-06-08 12:49:53","Created <span class=""""><a href=""attachment.cgi?id=28904"" name=""attach_28904"" title=""look and feel issue"">attachment 28904</a> <a href=""attachment.cgi?id=28904&amp;action=edit"" title=""look and feel issue"">[details]</a></span>
look and feel issue

image is looking bluer","Created attachment 28904 [details]
look and feel issue

image is looking bluer",4
7,53385,Description,Srikanth,"2012-06-08 12:45:33",sample,sample,5
8,52437,Description,saravanan,"2012-01-07 01:54:18",,,6
9,51970,Description,"Jonathan Shore","2011-10-05 23:25:43","The mono gmcs compiler does not support later version of the C# standard (such as C# 4.0).  &lt;csc&gt; should now call the dmcs compiler which embodies C# 2.0 - 4.0 standards.

I was unable to build C# v4.0 source code or use v4.0 libraries with the current implementation.  I made a local adjustment to the CSharp.java class to use dmcs instead of gmcs, and all is fine.

Please consider for the next release.","The mono gmcs compiler does not support later version of the C# standard (such as C# 4.0).  <csc> should now call the dmcs compiler which embodies C# 2.0 - 4.0 standards.

I was unable to build C# v4.0 source code or use v4.0 libraries with the current implementation.  I made a local adjustment to the CSharp.java class to use dmcs instead of gmcs, and all is fine.

Please consider for the next release.",7
10,51970,"Comment 1","dev1","2011-10-07 06:10:40","On my Ubuntu 10.4 box with the default Mono installed (2.6) there is no dmcs.  Yes I know this is not exactly the latest version of Mono.

In either case we'd either need to autodetect whether dmcs is there or let the user chose explicitly using a new attribute.  The later actually already is there, you should be able to set the executable attribute.

I'd be willing to change the default for Mono to dmcs in the next release.","On my Ubuntu 10.4 box with the default Mono installed (2.6) there is no dmcs.  Yes I know this is not exactly the latest version of Mono.

In either case we'd either need to autodetect whether dmcs is there or let the user chose explicitly using a new attribute.  The later actually already is there, you should be able to set the executable attribute.

I'd be willing to change the default for Mono to dmcs in the next release.",7
11,51970,"Comment 2","Jonathan Shore","2011-10-07 14:46:42","Thanks I did not realize that there was a tag for executable as could not find the docs for csc on the web (though now can see in the source distribution).   Is csc deprecated?   Is the idea with apache-ant-dotnet to delegate to nant where possible?   Hope that csc remains with the project, as prefer to use ant over nant.","Thanks I did not realize that there was a tag for executable as could not find the docs for csc on the web (though now can see in the source distribution).   Is csc deprecated?   Is the idea with apache-ant-dotnet to delegate to nant where possible?   Hope that csc remains with the project, as prefer to use ant over nant.",7
12,51970,"Comment 3","dev1","2011-10-07 16:03:32","We have decided to move the .NEt tasks out of the main distribution into a separate jar that can have an independent release cycle long ago.

The .NET Antlib contains csc and other tasks and isn't going away anytime soon - even though it is very light on development as not many people use Ant for .NET stuff.","We have decided to move the .NEt tasks out of the main distribution into a separate jar that can have an independent release cycle long ago.

The .NET Antlib contains csc and other tasks and isn't going away anytime soon - even though it is very light on development as not many people use Ant for .NET stuff.",7
13,51023,Description,"Peder Refsnes","2011-04-05 13:34:04","Created <span class=""""><a href=""attachment.cgi?id=26857"" name=""attach_26857"" title=""adds a boolean attribute x86 to file NUnitTask.java"">attachment 26857</a> <a href=""attachment.cgi?id=26857&amp;action=edit"" title=""adds a boolean attribute x86 to file NUnitTask.java"">[details]</a></span>
adds a boolean attribute x86 to file NUnitTask.java

When running test assemblies targeting x86 in a 64bit windows os, the file nunit-console-x86.exe has to be used instead of nunit-console.exe. 

Currently, there is no way to toggle this in the nunit task. The attached patch implements a a boolean attribute that when set to true will use nunit-console-x86.exe. 

Could you please apply this patch to trunk?

Regards
Peder Refsnes","Created attachment 26857 [details]
adds a boolean attribute x86 to file NUnitTask.java

When running test assemblies targeting x86 in a 64bit windows os, the file nunit-console-x86.exe has to be used instead of nunit-console.exe. 

Currently, there is no way to toggle this in the nunit task. The attached patch implements a a boolean attribute that when set to true will use nunit-console-x86.exe. 

Could you please apply this patch to trunk?

Regards
Peder Refsnes",8
14,51023,"Comment 1","John Deer","2011-07-10 06:52:13","Spam comment deleted by system admin","Spam comment deleted by system admin",8
15,51433,Description,bharadhan,"2011-06-25 07:46:20","<a href=""mailto:t.bharadhan@yahoo.com"">t.bharadhan@yahoo.com</a>",t.bharadhan@yahoo.com,9
16,51157,Description,Elango,"2011-05-06 08:15:40",d,d,10
17,47254,Description,zhihengz,"2009-05-22 16:43:15","Created <span class=""""><a href=""attachment.cgi?id=23707"" name=""attach_23707"" title=""Patched WixTask java source file"">attachment 23707</a> <a href=""attachment.cgi?id=23707&amp;action=edit"" title=""Patched WixTask java source file"">[details]</a></span>
Patched WixTask java source file

When customizing the wix ui library, lit.exe instead of light.exe are used to produce a wix library instead of a msi binary. for example:

candle.exe MyWixUI_InstallDir.wxs ....
lit.exe -out MyWixUI_InstallDir.wixlib MyWixUI_InstallDir.wixobj ...

lit is almost same as light except it used to produce library, not msi final binary.

There is no need to write a task for lit only since very likely it used in same way as light, so here is the proposal to have a lit attribute in wix task, by default it is false, means light.exe will be invoked, when set to true, it will invoke lit instead.

&lt;dn:wix target=&quot;MyWixUI_InstallDir.wixlib&quot;
	    lit=&quot;true&quot;
	    wixhome=&quot;${wix.home}&quot;&gt;
      &lt;sources dir=&quot;src&quot; includes=&quot;*.wxs&quot;/&gt;
&lt;/dn:wix&gt;

a patched version of WixTask is attached for reference.","Created attachment 23707 [details]
Patched WixTask java source file

When customizing the wix ui library, lit.exe instead of light.exe are used to produce a wix library instead of a msi binary. for example:

candle.exe MyWixUI_InstallDir.wxs ....
lit.exe -out MyWixUI_InstallDir.wixlib MyWixUI_InstallDir.wixobj ...

lit is almost same as light except it used to produce library, not msi final binary.

There is no need to write a task for lit only since very likely it used in same way as light, so here is the proposal to have a lit attribute in wix task, by default it is false, means light.exe will be invoked, when set to true, it will invoke lit instead.

<dn:wix target=""MyWixUI_InstallDir.wixlib""
	    lit=""true""
	    wixhome=""${wix.home}"">
      <sources dir=""src"" includes=""*.wxs""/>
</dn:wix>

a patched version of WixTask is attached for reference.",11
18,47254,"Comment 1",zhihengz,"2009-07-01 22:35:31","Want to know is there any progress on this improvement ?","Want to know is there any progress on this improvement ?",11
19,47254,"Comment 2","dev1","2011-01-21 12:53:39","Sorry, for some reason I simply overlooked this enhancement.

Slightly modified version committed as svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1061898"">revision 1061898</a>","Sorry, for some reason I simply overlooked this enhancement.

Slightly modified version committed as svn revision 1061898",11
20,50611,Description,"Luke Torjussen","2011-01-18 15:40:32","The command line for NUnit to include/exclude tests of certain categories is specified as a comma separated string.
e.g. if I want to include test categories ATests, BTests and CTests I do:
&quot;/include:ATests,BTests,CTests&quot;
But using the nunit task produces &quot;/include:,ATests,BTests,CTests&quot;","The command line for NUnit to include/exclude tests of certain categories is specified as a comma separated string.
e.g. if I want to include test categories ATests, BTests and CTests I do:
""/include:ATests,BTests,CTests""
But using the nunit task produces ""/include:,ATests,BTests,CTests""",12
21,50611,"Comment 1","Luke Torjussen","2011-01-18 16:05:34","Created <span class=""""><a href=""attachment.cgi?id=26512&amp;action=diff"" name=""attach_26512"" title=""java patch"">attachment 26512</a> <a href=""attachment.cgi?id=26512&amp;action=edit"" title=""java patch"">[details]</a></span>
java patch

moved repeated code for creating comma separated string into separate method as well as fixing bug","Created attachment 26512 [details]
java patch

moved repeated code for creating comma separated string into separate method as well as fixing bug",12
22,50611,"Comment 2","dev1","2011-01-21 12:35:03","This has actually already been fixed in svn with svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=752525"">revision 752525</a> 
but I took your patch as inspiration to factor out the redundant code
a little.  svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=1061884"">revision 1061884</a>

Given the fix for this embarrasing bug has been in svn for almost two years
it may finally be time to think about a new release.","This has actually already been fixed in svn with svn revision 752525 
but I took your patch as inspiration to factor out the redundant code
a little.  svn revision 1061884

Given the fix for this embarrasing bug has been in svn for almost two years
it may finally be time to think about a new release.",12
23,50102,Description,luigi87,"2010-10-16 05:57:07","test test","test test",13
24,50102,"Comment 1","J.M. (Martijn) Kruithof","2010-10-17 05:10:44","Please do not use this system to perform your tests.","Please do not use this system to perform your tests.",13
25,50101,Description,luigi87,"2010-10-16 05:55:51",test,test,14
26,50101,"Comment 1","J.M. (Martijn) Kruithof","2010-10-17 05:10:10","Please do not use this system to perform your tests.","Please do not use this system to perform your tests.",14
27,47789,Description,"Michael Callahan","2009-09-04 15:43:22","When compiling C# programs with &lt;csc&gt; task, targeting newer frameworks (&gt; 1.1), a fatal error is raised.  This is because the &quot;/incremental&quot; flag is now obsolete.


Forgive me for not including a patch, as I don't now the proper format.  My idea for a fix:

Modify CSharp.getIncrementalParameter() to return nothing, unless a supporting framework is being used.

To figure out whether a supporting framework is being used, I'd personally just add a &quot;FrameworkVersion&quot; property to the task.  (There are other options, but none are very clean.)","When compiling C# programs with <csc> task, targeting newer frameworks (> 1.1), a fatal error is raised.  This is because the ""/incremental"" flag is now obsolete.


Forgive me for not including a patch, as I don't now the proper format.  My idea for a fix:

Modify CSharp.getIncrementalParameter() to return nothing, unless a supporting framework is being used.

To figure out whether a supporting framework is being used, I'd personally just add a ""FrameworkVersion"" property to the task.  (There are other options, but none are very clean.)",15
28,47789,"Comment 1","dev1","2009-09-05 10:22:51","fixed in svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=677879"">revision 677879</a>

The approach taken is to only use a /incremental when the attribute is true, document that CSC of .NET 3.5 doesn't like the flag and leave the rest to the
user.","fixed in svn revision 677879

The approach taken is to only use a /incremental when the attribute is true, document that CSC of .NET 3.5 doesn't like the flag and leave the rest to the
user.",15
29,47078,Description,zhihengz,"2009-04-22 10:24:31","Created <span class=""""><a href=""attachment.cgi?id=23530"" name=""attach_23530"" title=""TallowTask source code"">attachment 23530</a> <a href=""attachment.cgi?id=23530&amp;action=edit"" title=""TallowTask source code"">[details]</a></span>
TallowTask source code

We need tallow task to generate a template wxs from a binary distribution to easy the burden to create wxs from hand. Such as

&lt;dn:tallow target=&quot;product.wxs&quot; source=&quot;product&quot;/&gt;

Based on WixTask.java, I created TallowTask.java to add this extra bit, I have tested it on my own project, the source code and html file are attached.","Created attachment 23530 [details]
TallowTask source code

We need tallow task to generate a template wxs from a binary distribution to easy the burden to create wxs from hand. Such as

<dn:tallow target=""product.wxs"" source=""product""/>

Based on WixTask.java, I created TallowTask.java to add this extra bit, I have tested it on my own project, the source code and html file are attached.",16
30,47078,"Comment 1",zhihengz,"2009-04-22 10:25:29","Created <span class=""""><a href=""attachment.cgi?id=23531"" name=""attach_23531"" title=""tallow task html help file"">attachment 23531</a> <a href=""attachment.cgi?id=23531&amp;action=edit"" title=""tallow task html help file"">[details]</a></span>
tallow task html help file","Created attachment 23531 [details]
tallow task html help file",16
31,47078,"Comment 2","dev1","2009-05-05 09:29:06","Added as svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=771741"">revision 771741</a>

Thanks!

I'd love to add you as a contributor but would need your name ;-)","Added as svn revision 771741

Thanks!

I'd love to add you as a contributor but would need your name ;-)",16
32,47078,"Comment 3",zhihengz,"2009-05-05 12:23:59","Thanks!

I sent my info to your apache email account with subject of &quot;On regarding wix ant task&quot;","Thanks!

I sent my info to your apache email account with subject of ""On regarding wix ant task""",16
33,47078,"Comment 4",zhihengz,"2009-05-06 11:02:02","One minor issue, need add following task definition in
/src/main/org/apache/ant/dotnet/antlib.xml

&lt;taskdef name=&quot;tallow&quot; classname=&quot;org.apache.ant.dotnet.wix.WixTask&quot;/&gt;

so we can refer it as 
&lt;dn:tallow/&gt;","One minor issue, need add following task definition in
/src/main/org/apache/ant/dotnet/antlib.xml

<taskdef name=""tallow"" classname=""org.apache.ant.dotnet.wix.WixTask""/>

so we can refer it as 
<dn:tallow/>",16
34,47078,"Comment 5",zhihengz,"2009-05-06 11:03:15","sorry, typo in #4 comments, shall be 
&lt;taskdef name=&quot;tallow&quot; classname=&quot;org.apache.ant.dotnet.wix.TallowTask&quot;/&gt;","sorry, typo in #4 comments, shall be 
<taskdef name=""tallow"" classname=""org.apache.ant.dotnet.wix.TallowTask""/>",16
35,47078,"Comment 6","dev1","2009-05-07 02:59:13","fixed with svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=772535"">revision 772535</a> - thanks!","fixed with svn revision 772535 - thanks!",16
36,46968,Description,zhihengz,"2009-04-03 22:01:03","current wix task cannot add extra arguments for light processing, for example we need link wixca library when doing light, current wix task only accept extra candle parameters, but not extra light arguments such as:

#light sample.wixobj ${wix.home}\wixui.wixlib -loc ${wix.home}\wixUI_en-us.wxl

A proposal is to add 

&lt;extraLightArg value=&quot;-loc&quot;/&gt;
&lt;extraLightArg pathValue=&quot;${wix.home}/wixUI_en-us.wxl&quot;/&gt;

inside &lt;wix&gt;","current wix task cannot add extra arguments for light processing, for example we need link wixca library when doing light, current wix task only accept extra candle parameters, but not extra light arguments such as:

#light sample.wixobj ${wix.home}\wixui.wixlib -loc ${wix.home}\wixUI_en-us.wxl

A proposal is to add 

<extraLightArg value=""-loc""/>
<extraLightArg pathValue=""${wix.home}/wixUI_en-us.wxl""/>

inside <wix>",17
37,46968,"Comment 1",zhihengz,"2009-04-03 22:02:35","Created <span class=""""><a href=""attachment.cgi?id=23441"" name=""attach_23441"" title=""A patched WixTask.java to accept additional nested element extraLightArg"">attachment 23441</a> <a href=""attachment.cgi?id=23441&amp;action=edit"" title=""A patched WixTask.java to accept additional nested element extraLightArg"">[details]</a></span>
A patched WixTask.java to accept additional nested element extraLightArg","Created attachment 23441 [details]
A patched WixTask.java to accept additional nested element extraLightArg",17
38,46968,"Comment 2","dev1","2009-04-09 08:35:09","I've taken an approach that reuses more of the existing Ant infrastructure than your patch.

fixed with svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=763647"">revision 763647</a>","I've taken an approach that reuses more of the existing Ant infrastructure than your patch.

fixed with svn revision 763647",17
39,46968,"Comment 3",zhihengz,"2009-04-17 17:38:29","sure, I have tested it and looks good

Thanks //Jason","sure, I have tested it and looks good

Thanks //Jason",17
40,40886,Description,"Mark Modrall","2006-11-03 06:37:57","Here's a simple stylesheet that does a decent job translating nunit-style xml 
output to junit format.  This is useful when ant is used in conjunction with 
CruiseControl and CC is trying to merge outputs for a status determination.  CC 
already knows how to read junit output but not nunit","Here's a simple stylesheet that does a decent job translating nunit-style xml 
output to junit format.  This is useful when ant is used in conjunction with 
CruiseControl and CC is trying to merge outputs for a status determination.  CC 
already knows how to read junit output but not nunit",18
41,40886,"Comment 1","Mark Modrall","2006-11-03 06:39:18","Created <span class=""""><a href=""attachment.cgi?id=19083"" name=""attach_19083"" title=""xsl transform"">attachment 19083</a> <a href=""attachment.cgi?id=19083&amp;action=edit"" title=""xsl transform"">[details]</a></span>
xsl transform","Created attachment 19083 [details]
xsl transform",18
42,40886,"Comment 2","dev1","2008-04-24 06:18:25","Mark, this may be a silly question (and it may be even more silly to sit on it for eighteen months): you intend to contribute this stylesheet for us to distribute it under the terms of the Apache License, right?","Mark, this may be a silly question (and it may be even more silly to sit on it for eighteen months): you intend to contribute this stylesheet for us to distribute it under the terms of the Apache License, right?",18
43,40886,"Comment 3","dev1","2008-12-03 07:46:36","CANTFIX without the right to distribute it.","CANTFIX without the right to distribute it.",18
44,34992,Description,"Chris Nagy","2005-05-20 21:37:46","I've been trying to compile a compact framework library with the csc task. To do
this I need to pass the '/noconfig' option. Unfortunately, MS .NET 1.1 csc
compiler ignores the option when it is stored in the response file and the
compile fails:

 [csc] warning CS2023: Ignoring /noconfig option because it was specified in a
response file

I've modified two files (I'll attach the diffs):

- 'org.apache.tools.ant.taskdefs.optional.dotnet.DotNetCommand'
  There is another list whose elements will always be on the command line ( and
not in the resource file )

- 'org.apache.tools.ant.taskdefs.optional.dotnet.CSharp'
  The '/noconfig' option is added to the new list property and will always be on
the command line

I haven't tested this out with other compiles (ie. mcs)","I've been trying to compile a compact framework library with the csc task. To do
this I need to pass the '/noconfig' option. Unfortunately, MS .NET 1.1 csc
compiler ignores the option when it is stored in the response file and the
compile fails:

 [csc] warning CS2023: Ignoring /noconfig option because it was specified in a
response file

I've modified two files (I'll attach the diffs):

- 'org.apache.tools.ant.taskdefs.optional.dotnet.DotNetCommand'
  There is another list whose elements will always be on the command line ( and
not in the resource file )

- 'org.apache.tools.ant.taskdefs.optional.dotnet.CSharp'
  The '/noconfig' option is added to the new list property and will always be on
the command line

I haven't tested this out with other compiles (ie. mcs)",19
45,34992,"Comment 1","Chris Nagy","2005-05-20 21:39:10","Created <span class=""""><a href=""attachment.cgi?id=15093&amp;action=diff"" name=""attach_15093"" title=""Patch to CSharp.java to make sure /noconfig is on command line"">attachment 15093</a> <a href=""attachment.cgi?id=15093&amp;action=edit"" title=""Patch to CSharp.java to make sure /noconfig is on command line"">[details]</a></span>
Patch to CSharp.java to make sure /noconfig is on command line","Created attachment 15093 [details]
Patch to CSharp.java to make sure /noconfig is on command line",19
46,34992,"Comment 2","Chris Nagy","2005-05-20 21:40:06","Created <span class=""""><a href=""attachment.cgi?id=15094&amp;action=diff"" name=""attach_15094"" title=""Patch to NetCommand to add arguments that always appear on command line"">attachment 15094</a> <a href=""attachment.cgi?id=15094&amp;action=edit"" title=""Patch to NetCommand to add arguments that always appear on command line"">[details]</a></span>
Patch to NetCommand to add arguments that always appear on command line","Created attachment 15094 [details]
Patch to NetCommand to add arguments that always appear on command line",19
47,34992,"Comment 3","dev1","2008-07-18 06:52:49","fixed in svn <a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=677883"">revision 677883</a> of the .NET Antlib","fixed in svn revision 677883 of the .NET Antlib",19
48,42170,Description,Manjunath,"2007-04-19 06:21:58","bug0 07","bug0 07",20
49,42170,"Comment 1","dev11","2007-04-19 06:28:41","Manjunath. 
What are you trying to do here. Stop it. if you want to play with bugzilla,
install your own copy. if you want to learn how to deal with bugs, get on the
ant dev list and ask for help.","Manjunath. 
What are you trying to do here. Stop it. if you want to play with bugzilla,
install your own copy. if you want to learn how to deal with bugs, get on the
ant dev list and ask for help.",20
50,41387,Description,"dev1","2007-01-16 21:45:01","See description in the referenced mail to user@ant","See description in the referenced mail to user@ant",21
51,41387,"Comment 1","dev77","2007-01-17 02:18:36","Is this not the same or similar as <a class=""bz_bug_link 
          bz_status_RESOLVED  bz_closed"" title=""RESOLVED DUPLICATE - jsharpc fails when run from directory with space in the path"" href=""show_bug.cgi?id=36565"">bug  36565</a>?","Is this not the same or similar as bug  36565?",21
