"name","month","opened","responses"
"dev78","2010-11",2,4
"dev78","2013-04",0,5
"dev78","2014-04",3,14
"dev78","2014-05",4,13
"dev78","2010-05",2,0
"dev78","2014-06",12,17
"dev78","2010-07",0,5
"dev78","2013-03",0,5
"dev78","2014-01",0,1
"dev10","2003-08",124,0
"dev78","2015-06",1,5
"dev10","2003-06",79,2
"dev10","2005-08",11,3
"dev78","2013-11",0,8
"dev78","2014-12",1,3
"dev78","2015-09",0,4
"dev78","2013-05",0,11
"dev78","2015-01",1,3
"dev78","2013-12",0,5
"dev78","2014-07",0,4
"dev48","2003-04",1,30
"dev78","2014-08",0,1
"dev78","2015-05",0,2
"dev78","2013-07",0,2
"dev78","2010-06",0,1
"dev78","2014-11",0,2
"dev78","2015-02",1,1
"dev78","2011-06",0,2
"dev10","2003-07",160,1
"dev10","2003-09",36,84
"dev78","2010-12",0,3
"dev78","2015-04",0,4
"dev10","2006-03",4,0
"dev78","2013-09",0,3
"dev78","2013-02",0,3
"dev10","2013-12",5,7
"dev10","2006-09",7,58
"dev10","2003-12",16,75
"dev10","2006-02",1,0
"dev78","2010-10",0,3
"dev78","2014-02",0,2
"dev10","2004-02",12,74
"dev8","2001-05",1,0
"dev10","2006-01",2,6
"dev8","2002-01",2,1
"dev72","2002-04",28,0
"dev48","2002-02",44,0
"dev10","2014-01",0,6
"dev10","2013-04",0,4
"dev10","2014-05",6,22
"dev10","2013-03",6,15
"dev10","2013-01",1,14
"dev10","2014-03",1,14
"dev10","2013-05",6,19
"dev10","2014-04",6,22
"dev72","2002-06",7,2
"dev10","2006-11",12,31
"dev10","2014-12",1,10
"dev10","2014-06",1,7
"dev10","2007-02",2,24
"dev10","2005-03",9,17
"dev10","2004-07",19,18
"dev10","2005-04",19,14
"dev10","2005-05",22,18
"dev10","2004-09",5,8
"dev10","2006-12",6,39
"dev1","2012-02",4,29
"dev10","2013-11",2,5
"dev1","2012-04",4,18
"dev9","2008-07",0,11
"dev10","2005-11",11,23
"dev10","2005-01",11,11
"dev9","2008-10",2,9
"dev10","2005-10",5,14
"dev1","2004-11",5,33
"dev10","2006-08",9,68
"dev1","2009-04",0,11
"dev1","2001-01",31,0
"dev8","2001-01",1,0
"dev34","2001-01",50,0
"dev1","2001-02",19,0
"dev34","2001-02",56,0
"dev1","2001-03",113,0
"dev34","2001-03",8,0
"dev1","2001-04",40,0
"dev34","2001-04",11,0
"dev72","2001-04",2,0
"dev1","2001-05",33,0
"dev72","2001-05",4,0
"dev34","2001-05",42,0
"dev34","2001-06",149,0
"dev1","2001-06",39,0
"dev1","2001-07",75,0
"dev34","2001-07",14,0
"dev1","2001-08",68,0
"dev34","2001-08",22,0
"dev34","2001-09",39,0
"dev1","2001-09",24,0
"dev34","2001-10",22,0
"dev1","2001-10",37,0
"dev72","2001-10",3,0
"dev1","2001-11",89,0
"dev34","2001-11",46,0
"dev72","2001-11",3,0
"dev34","2001-12",469,0
"dev1","2001-12",47,0
"dev72","2001-12",1,0
"dev48","2001-12",7,0
"dev34","2002-01",422,0
"dev48","2002-01",31,0
"dev1","2002-01",58,0
"dev34","2002-02",242,0
"dev1","2002-02",101,0
"dev72","2002-02",13,0
"dev1","2002-03",38,0
"dev34","2002-03",223,0
"dev48","2002-03",41,0
"dev72","2002-03",35,0
"dev34","2002-04",406,0
"dev48","2002-04",37,0
"dev1","2002-04",163,0
"dev48","2002-05",25,0
"dev34","2002-05",133,0
"dev1","2002-05",75,0
"dev72","2002-05",11,0
"dev34","2002-06",205,0
"dev48","2002-06",50,0
"dev1","2002-06",50,0
"dev34","2002-07",107,0
"dev1","2002-07",59,0
"dev72","2002-07",4,0
"dev48","2002-07",13,0
"dev34","2002-08",6,0
"dev1","2002-08",17,0
"dev48","2002-08",13,0
"dev34","2002-09",1,0
"dev1","2002-09",96,0
"dev48","2002-09",7,0
"dev11","2002-09",1,1
"dev1","2002-10",56,0
"dev34","2002-10",2,0
"dev1","2002-11",100,0
"dev1","2002-12",51,0
"dev48","2002-12",5,0
"dev48","2003-01",16,0
"dev1","2003-01",97,0
"dev1","2003-02",50,64
"dev48","2003-02",6,15
"dev8","2003-03",7,43
"dev8","2003-04",7,34
"dev8","2003-05",2,24
"dev8","2003-06",6,40
"dev8","2003-07",5,78
"dev8","2003-08",1,32
"dev8","2003-09",1,43
"dev8","2003-10",0,16
"dev8","2003-11",3,12
"dev8","2003-12",0,9
"dev8","2004-01",2,36
"dev8","2004-02",3,16
"dev1","2005-04",14,68
"dev10","2006-04",10,45
"dev10","2006-05",1,23
"dev10","2006-06",4,69
"dev9","2006-07",0,16
"dev10","2006-07",0,8
"dev10","2006-10",7,45
"dev10","2007-01",0,8
"dev10","2007-08",1,1
"dev10","2008-03",0,3
"dev10","2008-04",0,7
"dev10","2009-10",0,2
"dev1","2009-12",10,37
"dev10","2010-02",7,53
"dev10","2010-05",6,26
"dev10","2004-06",6,12
"dev10","2005-12",10,16
"dev10","2004-08",18,8
"dev10","2015-07",0,2
"dev10","2014-07",0,1
"dev10","2014-10",0,2
"dev1","2004-06",12,89
"dev10","2015-06",0,2
"dev1","2008-10",6,41
"dev8","2003-02",26,6
"dev10","2015-01",1,3
"dev1","2003-12",4,50
"dev10","2004-01",9,74
"dev10","2004-03",1,16
"dev10","2004-04",0,2
"dev8","2004-06",2,17
"dev8","2004-07",1,16
"dev8","2004-08",4,5
"dev8","2004-09",0,11
"dev10","2004-10",3,4
"dev8","2004-10",0,8
"dev49","2004-10",1,0
"dev10","2004-11",2,4
"dev8","2004-11",0,3
"dev10","2004-12",1,11
"dev49","2005-01",1,0
"dev9","2008-11",4,1
"dev10","2005-06",4,4
"dev10","2005-09",2,16
"dev8","2006-10",0,1
"dev10","2007-03",0,5
"dev10","2009-11",0,6
"dev10","2009-12",2,30
"dev10","2010-01",6,51
"dev10","2010-03",2,36
"dev10","2010-04",2,14
"dev10","2010-06",0,7
"dev10","2010-07",0,6
"dev10","2010-10",1,9
"dev10","2010-11",1,21
"dev10","2010-12",9,39
"dev10","2011-01",3,26
"dev10","2011-02",1,17
"dev10","2011-03",2,10
"dev10","2011-04",0,13
"dev1","2011-08",6,18
"dev10","2012-01",0,2
"dev1","2012-01",1,13
"dev1","2012-03",6,20
"dev1","2012-05",6,10
"dev1","2013-05",1,6
"dev1","2014-03",3,8
"dev1","2014-04",2,7
"dev1","2014-05",8,11
"dev1","2014-06",5,4
"dev1","2014-07",3,5
"dev1","2014-08",5,5
"dev1","2014-09",3,2
"dev1","2014-10",2,0
"dev1","2014-11",3,1
"dev1","2014-12",1,6
"dev1","2015-01",1,7
"dev1","2015-02",2,6
"dev1","2015-03",2,0
"dev1","2015-04",1,3
"dev1","2015-05",3,6
"dev1","2015-06",4,17
"dev1","2015-07",4,3
"dev1","2015-08",2,0
"dev1","2015-09",1,3
"dev1","2015-10",1,2
"dev10","2015-05",0,4
"dev10","2015-04",1,3
"dev10","2013-02",0,5
"dev1","2005-01",2,55
"dev10","2012-11",0,1
"dev1","2006-10",12,36
"dev1","2004-10",15,44
"dev10","2014-02",0,2
"dev1","2013-12",1,8
"dev1","2013-10",3,4
"dev1","2013-08",1,11
"dev1","2012-08",0,2
"dev1","2012-06",0,5
"dev1","2011-10",0,16
"dev1","2011-09",0,7
"dev1","2011-02",3,24
"dev1","2010-12",0,12
"dev1","2010-08",7,27
"dev1","2010-07",2,23
"dev1","2010-06",4,66
"dev1","2010-05",2,31
"dev1","2010-04",5,42
"dev1","2010-02",2,45
"dev1","2010-01",1,28
"dev1","2009-11",0,22
"dev1","2009-10",3,46
"dev1","2006-09",18,77
"dev1","2006-08",3,41
"dev1","2006-07",2,17
"dev1","2006-05",1,17
"dev1","2006-03",0,16
"dev1","2006-01",0,59
"dev1","2005-12",2,29
"dev1","2005-11",13,38
"dev1","2005-10",2,34
"dev1","2005-09",4,31
"dev1","2013-11",0,9
"dev1","2013-03",1,16
"dev1","2011-11",4,26
"dev1","2011-03",1,11
"dev1","2011-01",3,7
"dev1","2010-11",2,27
"dev1","2010-09",1,18
"dev1","2010-03",1,30
"dev1","2009-09",7,53
"dev1","2006-06",0,24
"dev1","2006-04",0,31
"dev1","2005-07",4,13
"dev1","2005-06",3,26
"dev1","2013-07",4,5
"dev1","2010-10",1,17
"dev1","2014-01",2,12
"dev1","2013-09",3,7
"dev1","2013-04",0,10
"dev1","2012-07",0,7
"dev1","2005-05",8,113
"dev1","2011-05",0,1
"dev1","2011-07",2,12
"dev1","2005-08",1,10
"dev1","2012-09",0,2
"dev1","2006-02",2,29
"dev1","2013-06",1,1
"dev1","2011-04",0,2
"dev1","2009-08",4,23
"dev1","2013-02",0,2
"dev1","2003-08",13,134
"dev1","2003-03",20,112
"dev48","2001-10",1,0
"dev74","2002-02",1,0
"dev8","2002-04",1,0
"dev80","2007-06",1,0
"dev10","2015-10",0,1
"dev70","2003-02",2,0
"dev77","2008-03",0,18
"dev70","2003-03",24,0
"dev70","2003-04",45,0
"dev70","2003-05",21,0
"dev70","2003-06",2,0
"dev70","2003-08",17,0
"dev70","2003-09",1,0
"dev70","2003-10",2,0
"dev70","2004-01",0,1
"dev70","2004-02",1,6
"dev10","2015-03",0,2
"dev70","2004-03",0,2
"dev8","2000-11",0,1
"dev1","2004-07",6,48
"dev1","2008-02",3,16
"dev1","2005-03",14,99
"dev1","2005-02",10,60
"dev1","2004-09",7,58
"dev1","2004-04",7,95
"dev1","2004-02",4,100
"dev1","2004-01",8,83
"dev1","2003-11",8,126
"dev1","2003-10",7,150
"dev1","2003-09",9,146
"dev1","2003-07",8,185
"dev1","2003-05",6,73
"dev1","2003-04",11,203
"dev1","2004-12",0,64
"dev1","2004-08",1,19
"dev1","2004-05",6,34
"dev1","2004-03",1,40
"dev1","2003-06",7,41
"dev8","2001-08",0,1
"dev10","2003-10",8,66
"dev10","2003-11",1,34
"dev69","2001-07",2,0
"dev8","2004-03",0,3
"dev8","2004-04",0,1
"dev10","2014-11",1,0
"dev1","2009-05",0,6
"dev1","2009-02",6,27
"dev1","2008-11",6,75
"dev1","2008-09",11,40
"dev1","2008-07",6,24
"dev1","2007-12",4,12
"dev1","2007-10",5,33
"dev1","2007-09",0,5
"dev1","2007-08",3,12
"dev1","2007-07",0,7
"dev1","2007-06",0,9
"dev1","2008-12",0,10
"dev1","2008-06",2,31
"dev1","2008-03",2,15
"dev1","2007-11",3,12
"dev1","2007-05",2,15
"dev1","2007-02",0,10
"dev1","2006-11",4,14
"dev1","2008-08",4,31
"dev1","2007-04",4,6
"dev1","2007-03",0,12
"dev1","2009-01",4,32
"dev1","2008-04",6,21
"dev1","2009-07",4,33
"dev1","2009-03",2,14
"dev1","2007-01",2,16
"dev1","2006-12",1,18
"dev1","2008-05",1,9
"dev1","2008-01",1,14
"dev1","2009-06",0,13
"dev78","2013-08",0,9
"dev11","2003-02",23,0
"dev10","2003-02",20,0
"dev11","2003-04",18,20
"dev10","2003-04",53,0
"dev11","2003-03",26,19
"dev78","2015-03",0,1
"dev78","2013-06",0,1
"dev78","2015-08",0,1
"dev10","2003-05",22,0
"dev10","2003-03",15,0
"dev8","2001-03",0,1
"dev78","2014-03",0,1
"dev78","2014-10",0,1
"dev11","2003-05",1,0
"dev9","2010-05",0,2
"dev48","2003-05",0,21
"dev9","2009-12",0,3
"dev9","2010-02",0,5
"dev48","2003-03",1,19
"dev72","2004-09",1,0
"dev50","2013-02",0,1
"dev9","2010-09",0,5
"dev50","2012-05",0,1
"dev9","2010-03",0,2
"dev9","2008-08",0,14
"dev9","2007-10",0,9
"dev9","2007-01",1,17
"dev9","2009-06",4,0
"dev9","2010-01",0,2
"dev9","2009-04",16,0
"dev9","2014-02",0,8
"dev9","2007-06",0,11
"dev9","2007-11",0,2
"dev9","2007-04",0,10
"dev9","2007-07",0,11
"dev9","2007-02",0,4
"dev9","2008-01",0,1
"dev9","2010-07",0,7
"dev48","2003-08",0,14
"dev9","2006-04",1,10
"dev9","2010-06",0,5
"dev72","2001-09",0,2
"dev9","2002-09",0,1
"dev48","2002-11",0,1
"dev9","2003-02",0,4
"dev9","2003-03",0,2
"dev9","2003-04",0,11
