"name","month","opened","responses","activities"
"dev115","2010-02",0,0,4
"dev115","2010-03",0,0,8
"dev112","2010-03",0,0,5
"dev115","2010-04",0,0,1
"dev112","2010-04",0,0,1
"dev112","2010-05",0,0,9
"dev115","2010-05",0,0,16
"dev115","2010-06",0,0,12
"dev112","2010-07",0,0,1
"dev115","2010-07",0,0,2
"dev115","2010-08",0,0,8
"dev112","2010-08",0,0,2
"dev115","2010-10",0,0,1
"dev112","2010-11",0,0,2
"dev115","2010-11",0,0,3
"dev115","2010-12",0,0,5
"dev112","2010-12",0,0,1
"dev115","2011-01",0,0,3
"dev115","2011-02",0,0,2
"dev112","2011-04",0,0,1
"dev115","2011-05",0,0,2
"dev112","2011-06",0,0,3
"dev115","2011-09",0,0,1
"dev112","2012-08",0,0,1
"dev112","2012-10",0,0,1
"dev115","2013-05",0,0,1
"dev115","2014-09",0,0,7
"dev115","2014-10",0,0,1
