"name","month","dnoc","bugfixes"
"dev112","2001-03",5,0
"dev112","2001-04",18,3
"dev112","2001-05",9,4
"dev112","2001-06",7,1
"dev112","2001-07",1,1
"dev112","2001-08",2,1
"dev112","2001-10",37,10
"dev112","2001-11",39,18
"dev112","2001-12",38,7
"dev112","2002-02",17,2
"dev112","2002-03",52,15
"dev112","2002-04",42,13
"dev112","2002-05",31,16
"dev86","2002-05",1,1
"dev118","2002-05",25,6
"dev112","2002-06",1,0
"dev112","2002-07",7,2
"dev112","2002-08",13,3
"dev118","2002-08",12,4
"dev112","2002-09",35,5
"dev86","2002-09",1,1
"dev112","2002-10",19,3
"dev118","2002-10",8,2
"dev112","2002-11",42,11
"dev118","2002-11",2,0
"dev116","2002-11",27,2
"dev116","2002-12",11,5
"dev112","2002-12",31,10
"dev67","2002-12",2,1
"dev86","2002-12",0,1
"dev67","2003-01",0,1
"dev112","2003-01",83,26
"dev118","2003-01",7,1
"dev116","2003-01",32,16
"dev117","2003-01",24,4
"dev86","2003-01",2,0
"dev112","2003-02",23,15
"dev117","2003-02",16,11
"dev116","2003-02",2,5
"dev67","2003-02",0,1
"dev112","2003-03",61,13
"dev117","2003-03",47,8
"dev116","2003-03",17,2
"dev86","2003-03",4,2
"dev117","2003-04",15,4
"dev112","2003-04",37,22
"dev116","2003-04",15,5
"dev67","2003-04",1,2
"dev112","2003-05",66,23
"dev86","2003-05",1,2
"dev116","2003-05",14,15
"dev67","2003-05",3,0
"dev118","2003-05",5,0
"dev116","2003-06",1,0
"dev112","2003-06",29,17
"dev67","2003-06",0,1
"dev86","2003-06",3,2
"dev112","2003-07",30,15
"dev67","2003-07",7,6
"dev86","2003-07",0,1
"dev117","2003-07",1,1
"dev112","2003-08",16,13
"dev67","2003-08",0,1
"dev86","2003-08",1,2
"dev112","2003-09",31,23
"dev116","2003-09",9,0
"dev118","2003-09",6,1
"dev112","2003-10",25,12
"dev116","2003-10",4,2
"dev67","2003-10",3,1
