"commentAuthor","month","nocomm"
"dev6","2012-07",148
"dev6","2012-08",53
"dev6","2012-02",130
"dev6","2012-04",116
"dev6","2011-02",92
"dev6","2011-09",99
"dev6","2011-10",49
"dev6","2011-11",89
"dev6","2012-01",164
"dev6","2012-05",37
"dev6","2012-06",91
"dev6","2009-06",8
"dev6","2011-12",156
"dev47","2009-06",12
"dev47","2009-07",23
"dev122","2009-07",3
"dev6","2009-07",11
"dev47","2009-05",6
"dev123","2009-06",3
"dev6","2009-05",5
"dev110","2012-08",1
"dev47","2010-08",74
"dev6","2011-03",124
"dev6","2012-03",68
"dev6","2010-11",9
"dev6","2010-12",5
"dev110","2011-11",19
"dev110","2011-12",8
"dev110","2012-01",2
"dev110","2012-02",4
"dev110","2012-03",4
"dev19","2010-08",4
"dev19","2011-03",16
"dev47","2010-06",59
"dev47","2010-07",33
"dev6","2010-06",88
"dev6","2010-08",100
"dev6","2011-06",6
"dev47","2010-09",45
"dev6","2010-10",14
"dev6","2011-04",16
"dev110","2010-12",6
"dev6","2011-08",10
"dev19","2011-02",6
"dev126","2011-07",1
"dev6","2011-05",7
"dev47","2010-12",3
"dev110","2011-01",5
"dev6","2011-01",43
"dev47","2011-01",36
"dev110","2011-02",4
"dev47","2011-02",3
"dev6","2010-04",76
"dev6","2010-05",92
"dev47","2010-05",125
"dev6","2010-09",50
"dev19","2010-04",5
"dev19","2010-06",1
"dev19","2010-05",3
"dev19","2012-02",1
"dev47","2010-11",25
"dev47","2010-10",27
"dev47","2011-03",9
"dev110","2011-10",2
"dev110","2011-07",4
"dev110","2011-04",4
"dev110","2011-09",2
"dev6","2010-03",33
"dev110","2010-08",12
"dev6","2009-12",8
"dev47","2010-02",63
"dev47","2009-12",8
"dev47","2010-01",27
"dev6","2010-01",40
"dev6","2010-02",101
"dev110","2010-07",4
"dev47","2010-04",118
"dev6","2010-07",6
"dev6","2011-07",6
"dev110","2011-06",1
"dev110","2011-05",6
"dev124","2010-07",5
"dev110","2010-05",8
"dev110","2011-03",2
"dev47","2010-03",10
"dev19","2011-01",3
"dev19","2010-02",4
"dev110","2010-10",1
"dev6","2009-09",13
"dev110","2010-09",3
"dev19","2010-09",1
"dev124","2010-09",1
"dev47","2009-08",25
"dev6","2009-08",25
"dev123","2010-05",4
"dev110","2010-06",3
"dev124","2010-08",2
"dev110","2010-03",1
"dev110","2010-04",6
"dev47","2009-09",16
"dev6","2009-11",14
"dev47","2009-11",3
"dev6","2009-10",30
"dev47","2009-10",24
"dev19","2009-10",2
"dev122","2009-08",5
