"name","month","opened","responses","activities"
"dev6","2012-03",6,24,30
"dev6","2011-11",4,33,37
"dev6","2011-08",4,40,44
"dev6","2012-04",1,19,20
"dev6","2011-09",2,29,31
"dev6","2011-12",3,14,17
"dev6","2011-10",2,26,28
"dev6","2009-04",8,9,17
"dev6","2009-05",4,8,12
"dev6","2009-06",1,8,9
"dev6","2009-07",7,40,47
"dev6","2009-08",6,68,74
"dev6","2009-09",5,60,65
"dev6","2009-10",5,57,62
"dev6","2009-11",3,21,24
"dev6","2009-12",1,5,6
"dev6","2010-01",1,5,6
"dev6","2010-02",3,25,28
"dev6","2010-03",4,14,18
"dev6","2010-04",4,15,19
"dev6","2010-05",7,32,39
"dev6","2010-06",3,19,22
"dev6","2010-07",2,5,7
"dev6","2010-10",8,13,21
"dev6","2010-11",4,31,35
"dev6","2010-12",1,56,57
"dev6","2011-01",7,100,107
"dev6","2011-02",8,51,59
"dev6","2011-03",2,12,14
"dev6","2011-04",2,44,46
"dev6","2011-05",3,15,18
"dev6","2011-06",0,5,5
"dev6","2011-07",5,34,39
"dev6","2012-01",5,48,53
"dev6","2012-02",5,17,22
"dev6","2012-05",1,6,7
"dev6","2012-06",2,19,21
"dev6","2012-07",2,5,7
"dev6","2012-08",0,4,4
"dev6","2012-09",0,10,10
"dev6","2012-10",1,10,11
"dev6","2012-11",0,4,4
"dev6","2012-12",3,8,11
"dev6","2013-01",1,12,13
"dev6","2013-02",0,10,10
"dev6","2013-03",0,7,7
"dev6","2013-04",0,24,24
"dev6","2013-05",0,5,5
"dev6","2013-06",0,2,2
"dev6","2013-07",0,12,12
"dev6","2013-08",0,3,3
"dev6","2014-01",0,4,4
"dev6","2014-08",0,1,1
"dev6","2014-09",0,1,1
"dev6","2010-08",7,1,8
"dev6","2010-09",6,7,13
"dev6","2013-11",0,2,2
"dev6","2014-03",0,1,1
"dev124","2010-05",0,10,10
"dev124","2010-06",0,2,2
"dev124","2010-07",1,5,6
"dev124","2010-09",1,12,13
"dev124","2010-10",0,18,18
"dev124","2010-11",0,12,12
"dev124","2010-12",0,17,17
"dev124","2011-01",3,42,45
"dev124","2011-02",1,11,12
"dev124","2011-06",0,1,1
"dev124","2010-08",0,1,1
"dev125","2010-11",4,9,13
"dev125","2011-01",2,9,11
"dev125","2010-09",1,3,4
"dev125","2010-12",0,6,6
"dev125","2011-02",1,1,2
"dev125","2010-10",1,3,4
"dev123","2009-05",1,0,1
"dev123","2009-09",1,10,11
"dev123","2009-10",1,5,6
"dev123","2009-11",0,2,2
"dev123","2009-12",0,2,2
"dev123","2010-05",0,1,1
"dev122","2009-07",20,34,54
"dev122","2009-09",5,49,54
"dev122","2009-08",16,50,66
"dev122","2009-10",4,19,23
"dev122","2009-11",1,1,2
"dev122","2009-12",2,1,3
"dev122","2010-02",2,6,8
"dev122","2010-03",0,9,9
"dev122","2010-04",0,10,10
"dev122","2010-05",0,9,9
"dev122","2010-06",0,3,3
"dev122","2010-08",0,3,3
"dev122","2010-09",0,2,2
"dev122","2010-10",2,2,4
"dev122","2010-11",1,2,3
"dev122","2010-12",1,21,22
"dev122","2011-01",7,22,29
"dev122","2011-02",7,10,17
"dev122","2011-04",0,1,1
"dev47","2009-04",5,2,7
"dev47","2009-05",5,1,6
"dev47","2009-07",1,20,21
"dev47","2009-08",5,31,36
"dev47","2009-09",2,21,23
"dev47","2009-10",5,18,23
"dev47","2009-11",1,7,8
"dev47","2009-12",0,3,3
"dev47","2010-01",0,2,2
"dev47","2010-02",3,4,7
"dev47","2010-03",0,2,2
"dev47","2010-04",1,3,4
"dev47","2010-05",2,11,13
"dev47","2010-06",1,1,2
"dev47","2010-07",1,7,8
"dev47","2010-08",0,8,8
"dev47","2010-09",1,8,9
"dev47","2010-10",1,0,1
"dev47","2010-11",3,9,12
"dev47","2010-12",6,13,19
"dev47","2011-01",0,5,5
"dev47","2011-02",0,2,2
"dev19","2009-10",4,0,4
"dev19","2009-11",3,0,3
"dev19","2010-02",1,0,1
"dev19","2010-03",3,0,3
"dev19","2010-05",2,4,6
"dev19","2010-07",2,5,7
"dev19","2012-06",0,3,3
"dev19","2010-04",2,1,3
"dev19","2010-10",3,2,5
"dev19","2010-11",2,8,10
"dev19","2010-12",3,11,14
"dev19","2011-01",3,20,23
"dev19","2011-02",3,8,11
"dev19","2011-04",0,2,2
"dev19","2010-08",1,7,8
"dev19","2011-03",0,2,2
"dev126","2011-04",3,5,8
"dev126","2011-05",5,7,12
"dev126","2011-07",2,3,5
"dev126","2011-08",1,1,2
"dev126","2011-10",1,3,4
"dev126","2011-11",0,2,2
"dev126","2012-12",0,1,1
"dev126","2011-03",2,4,6
"dev126","2011-06",1,0,1
"dev126","2012-04",0,1,1
"dev126","2012-03",0,1,1
"dev110","2010-10",1,2,3
"dev110","2010-11",1,0,1
"dev110","2010-12",1,3,4
"dev110","2011-02",1,2,3
"dev110","2011-03",1,1,2
"dev110","2011-04",1,7,8
"dev110","2011-05",5,3,8
"dev110","2011-08",0,1,1
"dev110","2011-09",1,1,2
"dev110","2011-10",1,3,4
"dev110","2011-11",3,4,7
"dev110","2011-12",1,0,1
"dev110","2012-01",0,3,3
"dev110","2012-02",1,4,5
"dev110","2012-08",1,1,2
"dev110","2010-03",1,0,1
"dev110","2010-06",1,1,2
"dev110","2010-07",1,0,1
"dev110","2010-08",0,1,1
"dev110","2010-04",0,2,2
