"name","month","dnoc","bugfixes"
"dev6","2009-05",55,29
"dev6","2008-10",3,0
"dev6","2008-11",22,1
"dev6","2008-12",51,7
"dev6","2009-01",25,5
"dev6","2009-02",22,6
"dev6","2009-03",44,25
"dev6","2009-04",85,42
"dev47","2009-05",5,2
"dev6","2009-06",40,21
"dev6","2009-07",38,29
"dev47","2009-06",3,0
"dev47","2009-07",3,4
"dev122","2009-07",9,4
"dev6","2009-08",48,48
"dev122","2009-08",16,4
"dev47","2009-08",5,2
"dev6","2009-09",46,45
"dev122","2009-09",4,4
"dev47","2009-09",8,0
"dev6","2009-10",69,55
"dev47","2009-10",3,3
"dev122","2009-10",16,7
"dev123","2009-10",12,3
"dev6","2009-11",41,26
"dev123","2009-11",5,0
"dev6","2009-12",28,7
"dev123","2009-12",3,1
"dev122","2009-12",9,3
"dev47","2009-12",2,1
"dev47","2009-11",2,0
"dev6","2010-01",24,13
"dev122","2010-01",0,1
"dev6","2010-02",39,38
"dev47","2010-01",0,2
"dev47","2010-02",0,1
"dev123","2010-02",14,5
"dev110","2010-02",2,4
"dev122","2010-02",4,0
"dev6","2010-03",37,22
"dev110","2010-03",11,7
"dev122","2010-03",3,1
"dev123","2010-03",1,0
"dev6","2010-04",41,45
"dev123","2010-04",12,4
"dev110","2010-04",9,5
"dev122","2010-04",3,2
"dev47","2010-04",3,3
"dev6","2010-05",40,28
"dev122","2010-05",8,1
"dev123","2010-05",2,2
"dev19","2010-05",1,1
"dev47","2010-05",3,1
"dev110","2010-05",2,1
"dev6","2010-06",25,20
"dev110","2010-06",0,3
"dev122","2010-06",6,1
"dev47","2010-06",3,0
"dev122","2010-07",5,2
"dev6","2010-07",11,8
"dev19","2010-07",2,0
"dev47","2010-07",2,0
"dev110","2010-07",2,0
"dev6","2010-08",26,22
"dev110","2010-08",15,14
"dev122","2010-08",9,2
"dev47","2010-08",2,2
"dev124","2010-08",8,8
"dev125","2010-08",20,2
"dev19","2010-08",8,1
"dev6","2010-09",19,18
"dev122","2010-09",0,3
"dev125","2010-09",8,3
"dev110","2010-09",6,5
"dev47","2010-09",4,3
"dev19","2010-09",1,1
"dev124","2010-09",0,1
"dev6","2010-10",17,16
"dev122","2010-10",2,1
"dev19","2010-10",3,1
"dev47","2010-10",2,2
"dev110","2010-10",0,1
"dev125","2010-10",1,0
"dev47","2010-11",3,1
"dev6","2010-11",7,2
"dev125","2010-11",5,4
"dev124","2010-11",7,2
"dev19","2010-11",2,0
"dev47","2010-12",1,2
"dev6","2010-12",4,5
"dev19","2010-12",4,0
"dev110","2010-12",0,2
"dev125","2011-01",1,0
"dev19","2011-01",3,3
"dev6","2011-01",11,10
"dev47","2011-01",1,0
"dev6","2011-02",29,11
"dev19","2011-02",1,0
"dev47","2011-02",0,1
"dev6","2011-03",18,15
"dev19","2011-03",2,1
"dev6","2011-04",8,10
"dev47","2011-04",0,1
"dev6","2011-05",4,4
"dev126","2011-05",20,7
"dev110","2011-05",3,1
"dev126","2011-06",10,0
"dev6","2011-06",3,5
"dev110","2011-06",1,0
"dev126","2011-07",12,3
"dev19","2011-07",0,1
"dev6","2011-07",28,8
"dev127","2011-07",2,0
"dev127","2011-08",5,1
"dev6","2011-08",6,7
"dev126","2011-08",1,0
"dev6","2011-09",16,16
"dev127","2011-09",7,5
"dev110","2011-09",0,1
"dev6","2011-10",14,9
"dev110","2011-10",2,6
"dev6","2011-11",22,13
"dev6","2011-12",30,22
"dev127","2011-10",0,1
"dev127","2011-11",4,0
"dev110","2011-11",2,2
"dev110","2011-12",0,1
"dev6","2012-01",38,21
"dev110","2012-01",0,1
"dev6","2012-02",31,10
"dev110","2012-02",0,1
"dev6","2012-03",18,10
"dev6","2012-04",16,7
